y,z
0.3703587737400085,a
0.9852390319574624,a
0.25102351675741374,a
0.2043604040518403,a
0.7023626586887985,a
0.13933296222239733,a
0.7080546172801405,a
0.796347843715921,a
0.18122763908468187,a
0.5502685050014406,a
0.22123478050343692,a
0.18149679526686668,a
0.7111657334025949,a
0.7814095034264028,a
0.46237221360206604,a
0.800894619198516,a
0.11615474405698478,a
0.08463149378076196,a
0.4489732477813959,a
0.22880555246956646,a
0.5218630365561694,a
0.5258093171287328,a
0.5594505812041461,a
0.7011463909875602,a
0.984695601509884,a
0.26290346146561205,a
0.6625177564565092,a
0.9932606723159552,a
0.8057252536527812,a
0.8457356544677168,a
0.779346268158406,a
0.6763695157133043,a
0.9897248931229115,a
0.7016580859199166,a
0.2446491385344416,a
0.6323563144542277,a
0.5524046188220382,a
0.7852720939554274,a
0.24987202533520758,a
0.11118506849743426,a
0.08856077026575804,a
0.36749163432978094,a
0.902210695669055,a
0.9324630158953369,a
0.7035000799223781,a
0.3750827219337225,a
0.8557148817926645,a
0.5756437326781452,a
0.8947040997445583,a
0.6861173731740564,a
0.27098635234870017,a
0.8204248312395066,a
0.5734138956759125,a
0.1387330088764429,a
0.5309062402229756,a
0.36946696205995977,a
0.48719815351068974,a
0.8427423720713705,a
0.22829663753509521,a
0.32443345966748893,a
0.13797015766613185,a
0.35484349681064487,a
0.229973325971514,a
0.3017411513719708,a
0.32455719937570393,a
0.5614827068056911,a
0.20953950169496238,a
0.6414715491700917,a
0.18542580073699355,a
0.5862005995586514,a
0.9363230532035232,a
0.8100603250786662,a
0.8423578217625618,a
0.20432115136645734,a
0.2251835805363953,a
0.13050153711810708,a
0.7406606811564416,a
0.09882838139310479,a
0.003337390488013625,a
0.3738647468853742,a
0.06170584401115775,a
0.7427619106601924,a
0.6145701718050987,a
0.16253460221923888,a
0.6757377926260233,a
0.6150229752529413,a
0.3211011535022408,a
0.40998184331692755,a
0.7802321296185255,a
0.027645680820569396,a
0.7268241420388222,a
0.4062968834768981,a
0.291038550902158,a
0.7907032810617238,a
0.31771205365657806,a
0.19785806396976113,a
0.4984063105657697,a
0.7375775054097176,a
0.7357981321401894,a
0.2998977063689381,a
